Site;Round;Mown.side;Mown.site;Date;Time;Roadside;Temperature/C;Windspeed/m/s;Wind Direction;Spiders;Staphylinidae;Cantharidae;Coccinellidae;Curculionidae;pollen beetles;flea beetles;other Coleoptera;Parasitic wasps;Formicidae;Other Apocrita;Symphyta;Diptera: Syrphidae;Diptera: other Brachycera;Diptera other Nematocera;Lepidoptera: butterfly adults;Lepidoptera: butterfly larvae;Lepidoptera: moth adults;Lepidoptera: moth larvae;Aphids;Cicadellidae;Delphacidae;Other Homoptera;Pentatomidae;Miridae;other Heteroptera;Neuroptera;Thysanoptera;Collembola;Dermpatera;Orthoptera;Acari;Others;Note
Arlanda;1;No;No;07-jun;02:15;W;15;2;;1;0;0;1;0;0;0;0;1;0;0;0;0;0;9;1;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;
Arlanda;1;No;No;07-jun;02:00;E;15;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Arlanda;2;Yes;Yes;19-jul;23:45;W;15;2(3);;2;0;0;0;0;0;0;3;1;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Arlanda;2;Yes;Yes;19-jul;23:55;E;15;2(3);;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Arlanda;3;Not.recently;Not.recently;10-aug;00:10;W;12;1(2);;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Arlanda;3;Not.recently;Not.recently;10-aug;00:20;E;12;1(2);;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Aspö;1;No;No;06-jun;23:20;W;20;2(4);SE;28;3;0;2;1;0;0;24;11;18;1;0;0;8;42;0;1;1;0;1;2;0;1;14;7;0;0;14;0;1;4;5;1 snail;
Aspö;1;No;No;06-jun;23:00;W;22;3(6);SE;10;0;0;1;2;0;0;10;14;5;0;0;0;10;94;2;2;2;0;0;6;0;0;33;17;0;0;25;1;0;3;1;;
Aspö;2;No;No;12-jul;00:50;E;11;2(4);NE;4;1;4;1;0;2;0;8;2;5;0;0;3;5;14;0;0;1;0;4;1;0;0;6;6;0;1;67;0;4;2;10;;
Aspö;2;No;No;12-jul;00:40;W;13;2(3);NE;1;0;0;1;0;0;6;2;1;16;0;0;0;3;10;0;0;0;0;31;0;0;0;1;0;0;0;4;0;0;3;5;;
Aspö;3;No;No;05-aug;23:50;E;12;1(2);W;43;2;0;2;10;8;16;12;29;9;2;0;5;37;16;0;1;11;0;4;1;2;0;116;17;10;0;34;0;12;7;8;7 Isopoda, 1 snail;
Aspö;3;No;No;05-aug;23:40;W;12;1(2);W;28;1;0;7;1;0;5;8;5;0;1;1;4;41;8;0;2;17;0;2;6;2;0;65;19;3;5;2;0;19;7;0;2 Isopoda, 1 Diplopoda, 3 snails ;
Björklinge;1;No;No;10-jun;22:30;S;14;1(3);SW;3;0;0;0;0;11;0;2;34;15;0;0;0;64;7;0;0;1;0;6;32;2;0;2;1;0;2;125;4;0;0;35;;
Björklinge;1;No;No;10-jun;22:10;N;14;1(3);SW;0;0;2;2;0;2;0;1;3;0;0;0;0;5;1;0;0;7;0;0;2;0;2;6;3;0;5;52;0;0;1;2;;
Björklinge;2;Yes;Yes;22-jul;22:10;N;18;3(6);;7;0;1;1;1;0;70;64;15;1;0;3;15;152;6;0;0;1;0;3;8;0;21;17;2;6;1;4;1;0;1;4;37 snails;"verge mown; wet"
Björklinge;2;Yes;Yes;22-jul;22:20;S;8;3(6);;7;1;0;2;1;1;70;46;8;1;0;1;1;25;4;0;0;3;0;1;12;0;11;7;4;19;1;0;0;0;4;17;1 Opiliones, 28 snails ;"verge mown; wet"
Björklinge;3;Not.recently;Not.recently;12-aug;23:20;N;15;4(7);;6;0;0;0;0;0;10;0;2;1;0;3;2;16;3;0;0;3;0;0;3;0;2;15;1;0;0;3;1;2;2;0;1 Opiliones ;
Björklinge;3;Not.recently;Not.recently;12-aug;23:35;S;15;4(7);;24;0;0;0;2;0;2;8;3;0;0;2;1;13;3;0;2;2;0;2;4;0;3;18;5;1;0;2;0;9;1;3;3 snails;
Enköping;1;No;No;07-jun;00:20;E;18;3(5);SE;8;0;0;3;3;6;0;7;42;6;0;0;0;7;24;0;0;3;0;7;13;0;2;15;2;0;2;88;2746;0;3;0;1 Blattodea;
Enköping;1;No;No;07-jun;00:45;W;18;3(5);SE;14;0;0;0;1;1;7;6;45;16;0;0;0;5;8;0;0;3;0;1;12;0;0;29;4;0;0;254;657;0;1;0;1 Psocoptera, 1 Megaloptera;
Enköping;2;Yes;Yes;17-jul;22:15;NO;13;0(1);NW;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2;0;0;12;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;Verge mown
Enköping;2;Yes;Yes;17-jul;22:25;SW;12;0(1);NW;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Verge mown
Enköping;3;Not.recently;Not.recently;05-aug;22:00;E;15;1(2);W;20;2;0;1;3;1;24;9;62;0;0;0;4;192;308;0;0;11;6;7;9;0;0;5;9;1;1;59;25;0;2;173;1 Psocoptera, 2 Opiliones, 3 Diplopoda;
Enköping;4;Not.recently;Not.recently;05-aug;22:15;W;15;1(2);W;16;4;0;0;8;8;9;12;21;0;1;0;2;283;43;0;0;12;0;3;10;2;0;1;24;6;0;10;5;2;4;171;2 Blattodea, 6 Dipolopoda, 4 snails;
Gottröra;1;No;No;10-jun;23:50;N;10;1;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Gottröra;1;No;No;11-jun;00:00;S;10;1;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Gottröra;2;Yes;Yes;20-jul;01:00;NO;13;1(2);NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Gottröra;2;Yes;Yes;20-jul;00:50;SW;13;1(2);NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Gottröra;3;Not.recently;Not.recently;12-aug;23:20;NW;14;2(3);N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Gottröra;3;Not.recently;Not.recently;12-aug;23:30;SO;14;2(3);N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Hargshamn;1;No;No;07-jun;23:50;NE;17;2;NW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Hargshamn;1;No;No;07-jun;00:05;SW;17;2;NW;0;0;0;0;0;0;0;0;0;1;0;0;0;0;18;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Hargshamn;2;Yes;Yes;24-jul;21:10;W;20;1(3);S;42;0;1;24;3;1;4;83;44;52;0;1;0;140;14;0;0;5;0;13;11;0;25;24;17;25;3;23;24;0;4;186;1 Isopoda, 1 snail;mown
Hargshamn;2;No;Yes;24-jul;20:20;E;20;1(3);S;28;0;30;8;2;0;9;94;70;30;1;1;6;61;28;0;0;5;0;22;5;1;7;37;5;27;5;130;0;12;7;123;45 snails;
Hargshamn;3;Not.recently;Not.recently;08-aug;01:10;SW;15;1(2);N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Hargshamn;3;No;Not.recently;08-aug;01:20;NE;15;1(2);N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;;
Häggeby;1;No;No;04-jun;22:10;S;15;1(3);SW;0;0;0;4;1;0;0;3;4;0;0;0;0;2;1;0;0;11;0;4;3;0;0;14;1;0;0;6;9;0;0;2;;
Häggeby;1;No;No;04-jun;22:25;N;15;1(3);SW;4;0;0;4;0;0;0;2;5;2;0;0;0;4;7;0;0;0;0;33;3;0;0;15;10;2;0;2;2;0;4;2;;
Häggeby;2;Yes;Yes;17-jul;23:45;NW;12;1(2);W;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;half-mown
Häggeby;2;Yes;Yes;17-jul;23:35;SE;12;1(2);W;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;half-mown
Häggeby;3;Not.recently;Not.recently;09-aug;22:30;E;14;1(2);SW;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Häggeby;3;Not.recently;Not.recently;09-aug;22:30;W;14;1(2);SW;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Knutby;1;No;No;05-jun;21:50;E;17;2;NW;0;0;1;0;0;0;0;0;2;1;0;0;0;1;137;0;0;4;0;0;0;0;0;0;2;0;0;1;27;0;0;1;;
Knutby;1;No;No;05-jun;22:00;W;18;2;NW;0;0;2;0;0;0;0;0;0;1;0;0;0;0;20;0;0;2;0;0;2;0;0;2;0;0;1;2;12;0;0;1;;
